T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,4.000000,0.000000,418.183316,418.183316,418.183316,418.183316,1254.549948,0.000000,0.000000,22.106975,0.523485,-17.905390,0.954177,0.954177,0.011645,-0.076869,-0.076869,-2.056874,0.078929,0.103330,20.361464,20.361464,460.578592,5,0.000000,true,
50.000000,3.950000,0.000000,416.565314,416.565314,416.565314,416.565314,1249.695941,0.000000,0.000000,22.091331,0.508099,-17.960052,0.942559,0.942559,0.010881,-0.078900,-0.078900,-2.057899,0.077377,0.101749,20.755588,20.755588,460.743774,3,0.000000,true,
50.000000,3.900000,0.000000,414.876263,414.876263,414.876263,414.876263,1244.628789,0.000000,0.000000,22.075206,0.492436,-18.014584,0.930929,0.930929,0.010142,-0.081018,-0.081018,-2.058892,0.075806,0.100093,21.166675,21.166675,460.904325,3,0.000000,true,
50.000000,3.850000,0.000000,413.107942,413.107942,413.107942,413.107942,1239.323826,0.000000,0.000000,22.058538,0.476557,-18.068960,0.919286,0.919286,0.009428,-0.083231,-0.083231,-2.059852,0.074225,0.098360,21.596071,21.596071,461.060291,3,0.000000,true,
50.000000,3.800000,0.000000,411.251356,411.251356,411.251356,411.251356,1233.754067,0.000000,0.000000,22.041265,0.460548,-18.123149,0.907630,0.907630,0.008740,-0.085547,-0.085547,-2.060779,0.072643,0.096550,22.045329,22.045329,461.211662,3,0.000000,true,
50.000000,3.750000,0.000000,409.296922,409.296922,409.296922,409.296922,1227.890766,0.000000,0.000000,22.023319,0.444521,-18.177111,0.895961,0.895961,0.008078,-0.087974,-0.087974,-2.061673,0.071071,0.094667,22.516260,22.516260,461.358362,3,0.000000,true,
50.000000,3.700000,0.000000,407.234889,407.234889,407.234889,407.234889,1221.704668,0.000000,0.000000,22.004636,0.428625,-18.230796,0.884278,0.884278,0.007443,-0.090524,-0.090524,-2.062532,0.069525,0.092716,23.010996,23.010996,461.500235,3,0.000000,true,
50.000000,3.650000,0.000000,405.056129,405.056129,405.056129,405.056129,1215.168387,0.000000,0.000000,21.985160,0.413051,-18.284141,0.872581,0.872581,0.006839,-0.093211,-0.093211,-2.063353,0.068024,0.090709,23.532076,23.532076,461.637040,3,0.000000,true,
50.000000,3.600000,0.000000,402.753473,402.753473,402.753473,402.753473,1208.260419,0.000000,0.000000,21.964857,0.398043,-18.337070,0.860867,0.860867,0.006266,-0.096049,-0.096049,-2.064135,0.066593,0.088662,24.082530,24.082530,461.768446,3,0.000000,true,
50.000000,3.550000,0.000000,400.323740,400.323740,400.323740,400.323740,1200.971219,0.000000,0.000000,21.943729,0.383895,-18.389494,0.849136,0.849136,0.005728,-0.099058,-0.099058,-2.064873,0.065258,0.086603,24.665977,24.665977,461.894038,3,0.000000,true,
50.000000,3.500000,0.000000,397.770412,397.770412,397.770412,397.770412,1193.311236,0.000000,0.000000,21.921836,0.370943,-18.441311,0.837386,0.837386,0.005227,-0.102259,-0.102259,-2.065564,0.064051,0.084566,25.286691,25.286691,462.013365,3,0.000000,true,
50.000000,3.450000,0.000000,395.106484,395.106484,395.106484,395.106484,1185.319452,0.000000,0.000000,21.899319,0.359538,-18.492419,0.825616,0.825616,0.004768,-0.105679,-0.105679,-2.066205,0.063001,0.082596,25.949612,25.949612,462.126014,3,0.000000,true,
50.000000,3.400000,0.000000,392.356343,392.356343,392.356343,392.356343,1177.069028,0.000000,0.000000,21.876407,0.349993,-18.542726,0.813823,0.813823,0.004353,-0.109345,-0.109345,-2.066791,0.062131,0.080742,26.660255,26.660255,462.231744,3,0.000000,true,
50.000000,3.350000,0.000000,389.555144,389.555144,389.555144,389.555144,1168.665432,0.000000,0.000000,21.853411,0.342522,-18.592170,0.802008,0.802008,0.003984,-0.113289,-0.113289,-2.067324,0.061455,0.079054,27.424520,27.424520,462.330626,3,0.000000,true,
50.000000,3.300000,0.000000,386.744759,386.744759,386.744759,386.744759,1160.234277,0.000000,0.000000,21.830680,0.337184,-18.640731,0.790171,0.790171,0.003658,-0.117541,-0.117541,-2.067803,0.060967,0.077570,28.248467,28.248467,462.423162,3,0.000000,true,
50.000000,3.250000,0.000000,383.967188,383.967188,383.967188,383.967188,1151.901564,0.000000,0.000000,21.808552,0.333864,-18.688441,0.778312,0.778312,0.003375,-0.122133,-0.122133,-2.068233,0.060648,0.076311,29.138165,29.138165,462.510310,3,0.000000,true,
50.000000,3.200000,0.000000,381.258073,381.258073,381.258073,381.258073,1143.774219,0.000000,0.000000,21.787298,0.332304,-18.735371,0.766435,0.766435,0.003130,-0.127096,-0.127096,-2.068621,0.060465,0.075278,30.099726,30.099726,462.593405,3,0.000000,true,
50.000000,3.150000,0.000000,378.642821,378.642821,378.642821,378.642821,1135.928463,0.000000,0.000000,21.767099,0.332156,-18.781619,0.754541,0.754541,0.002918,-0.132464,-0.132464,-2.068974,0.060382,0.074457,31.139504,31.139504,462.674023,3,0.000000,true,
