xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark
0.0,50.0,356.4642128342139,0.08477826172722529,2.591432599947875
0.0,55.0,355.1317898668947,0.0990007434943298,2.558992974460797
0.0,60.0,353.6220426214759,0.12305812466658138,2.535530951682468
0.0,65.0,351.91042959330935,0.14520829942372135,2.5196731903289127
0.0,70.0,349.9642977409437,0.17433760578979096,2.510122921584009
0.0,75.0,347.75199066010737,0.20433341072176944,2.505705358578588
0.0,80.0,345.2366351011186,0.24195009542941598,2.50547259472297
0.0,85.0,342.377137941382,0.28541171973374235,2.508599245805186
0.0,90.0,339.1300535847124,0.33570176466353324,2.5143313009994817
0.0,95.0,335.4474618119282,0.39450674603573715,2.5217857792380824
0.0,100.0,331.27783912704615,0.46621237932490506,2.529768968157072
0.0,105.0,326.5665438661767,0.5508822447475977,2.5364167536600513
0.0,110.0,321.2559059316293,0.6567084971422666,2.538494747945823
0.0,115.0,315.287847862853,0.7894519987094475,2.530375343259663
0.0,120.0,308.6060354947645,0.9630264094021191,2.5030669035757773
0.0,125.0,301.1638122735233,1.2084878863839577,2.4286971345801436
0.0,126.0,299.58111123164684,1.2718317004113149,2.4048439312644803
0.0,127.0,297.96712292460313,1.3436668791231903,2.3732530743871316
0.0,128.0,296.32168377703374,1.4264044476312754,2.3328410224255975
0.0,129.0,294.6449505496032,1.5249278688107668,2.278884708493913
0.0,130.0,292.9373379232097,1.652571742040109,2.198008400703794
0.0,130.625,291.78672486545526,1.7813014306975046,2.1020028141437086
0.0,130.9375,291.214407625,1.8994916425121315,1.9690710138398426
0.0,131.0,291.1987795,1.8975754422479103,2.0007005758161247
0.0,131.03125,291.14327036328126,1.9392842549815208,1.9657574228828274
0.2,50.0,364.99693376992815,0.13467049849100038,2.4553871476912525
0.2,55.0,363.73037502349075,0.1563818427276874,2.428289929645295
0.2,60.0,362.30595216202164,0.18448676625336324,2.4088465296188115
0.2,65.0,360.69678999617395,0.2142937369768154,2.3949437044985835
0.2,70.0,358.8755124145314,0.2475853642118812,2.3852113230144436
0.2,75.0,356.8091962651326,0.2883628017228937,2.3792151776090154
0.2,80.0,354.4628106788997,0.3342876095461741,2.375921607789426
0.2,85.0,351.7981813417432,0.3872365789352906,2.3743689624438007
0.2,90.0,348.7731359086374,0.44853639587208366,2.373447585313098
0.2,95.0,345.3420923429286,0.5240119557732332,2.371687437204303
0.2,100.0,341.4558080486063,0.6129022462961682,2.3669033537036763
0.2,105.0,337.0615558412868,0.723007824625897,2.355731304197672
0.2,110.0,332.1037688187642,0.8616808301275667,2.3295048105193406
0.2,115.0,326.5260055459293,1.0470254177369822,2.274922953241966
0.2,120.0,320.27400702108685,1.3320827846623933,2.146482319855097
0.2,122.5,316.7528724814514,1.6114337858235013,1.9526690210361235
0.2,122.8125,316.31742235714705,1.6819232536642443,1.8888806017195916
0.2,122.96875,316.10065238699684,1.7431942258104727,1.8304889807944966
0.2,122.98828125,316.0735380456765,1.748207979617359,1.8103711820401251
0.2,122.998046875,316.0599478317622,1.7498590346596643,1.8043236441886124
0.2,123.0,316.1797517539682,1.6984328992441262,1.8721825881345393
0.4,50.0,372.1251628380367,0.2065020400360208,2.287934453684861
0.4,60.0,369.66329424412936,0.2697997685049363,2.251795926482156
0.4,70.0,366.4866478989416,0.3514359455120362,2.2279567395681283
0.4,80.0,362.37266046490845,0.4594697607022707,2.209319166162133
0.4,90.0,357.0472818619174,0.6088302814064919,2.182962657245953
0.4,100.0,350.17992899218746,0.8303098581313381,2.125992172955672
0.4,110.0,341.3801747266865,1.2354762656218274,1.940235727956062
0.4,113.0,338.24947575,1.5880741775289082,1.6801261467878927
