T_MeV,muq_MeV,muB_MeV,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,chemical_profile,flavor_profile,branch_policy,phase_side_label,regime,phase_scheme,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,qmax,q_nodes,omega_min,omega_max,omega_nodes,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_applied,noanom_removed_component_count,noanom_removed_omega_min,noanom_removed_omega_max,noanom_landau_omega_min,noanom_landau_omega_max,status,message
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,stable,,,,not_applicable,none,,,3,,,,0.027631296011819885,0.02531937080646504,0.9163294691509993,0,,,false,0,,,,,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,strict_bw_stage1_reduced,,,,not_applicable,none,,3.0,3,,2.0,3,0.014177364099304566,0.00026199849542663146,0.018480056912658617,0,,,false,0,,,,,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_current_strict_pv,phase_shift_current,pv_b0_eta0,0.0,strict_normal_domain,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,NaN,NaN,NaN,3,-1.3689646009502308,0.0,false,0,NaN,NaN,NaN,NaN,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue | strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_gbu_strict_pv,phase_shift_gbu_reference,pv_b0_eta0,0.0,strict_normal_domain,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,NaN,NaN,NaN,3,-1.3689646009502308,0.0,false,0,NaN,NaN,NaN,NaN,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue | strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_gbu_excitation_only_pv,phase_shift_gbu_reference,pv_b0_eta0,0.0,excitation_only_E_gt_mu,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,0.005549701228225388,-0.355553138470279,-64.06707746030739,3,-1.3689646009502308,0.0,false,0,NaN,NaN,NaN,NaN,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_plus,K_plus,true,100.0,280.0,bu2020_kplus_over_piplus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_gbu_noanom_excitation_only_pv,phase_shift_gbu_reference,pv_b0_eta0,0.0,excitation_only_E_gt_mu,low_energy_branch_subtraction,arg_inverse_propagator,3.0,3,0.05,2.0,3,0.007924835485478435,0.0,0.0,3,-1.3689646009502308,0.0,true,2,1.4844482580674419,1.934516342882789,1.4189646009502308,2.7468701649259324,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_minus,K_minus,true,100.0,-280.0,bu2020_kminus_over_piminus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,stable,,,,not_applicable,none,,,3,,,,0.027631296011819885,1.0318322319821432e-7,3.7342882199255314e-6,0,,,false,0,,,,,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_minus,K_minus,true,100.0,-280.0,bu2020_kminus_over_piminus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,strict_bw_stage1_reduced,,,,not_applicable,none,,3.0,3,,2.0,3,0.014177364099304566,2.530555534398396e-7,1.7849266737266953e-5,0,,,false,0,,,,,ok,
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_minus,K_minus,true,100.0,-280.0,bu2020_kminus_over_piminus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_current_strict_pv,phase_shift_current,pv_b0_eta0,0.0,strict_normal_domain,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,NaN,0.0009857825310568512,NaN,1,-0.4567730717679395,0.0,false,0,NaN,NaN,NaN,NaN,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_minus,K_minus,true,100.0,-280.0,bu2020_kminus_over_piminus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_gbu_strict_pv,phase_shift_gbu_reference,pv_b0_eta0,0.0,strict_normal_domain,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,NaN,9.646277468013571e-5,NaN,1,-0.4567730717679395,0.0,false,0,NaN,NaN,NaN,NaN,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
90.0,350.0,1050.0,0.0,350.0,350.0,70.0,pi_minus,K_minus,true,100.0,-280.0,bu2020_kminus_over_piminus_mu_pi_100,bu2020_mu_s_0p2,Models.solve_gap_and_meson_point default selector,not_forced,phase_shift_gbu_excitation_only_pv,phase_shift_gbu_reference,pv_b0_eta0,0.0,excitation_only_E_gt_mu,none,arg_inverse_propagator,3.0,3,0.05,2.0,3,0.005549701228225388,9.646277468013571e-5,0.017381615822764093,1,-0.4567730717679395,0.0,false,0,NaN,NaN,NaN,NaN,ok,
