T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
120.000000,4.000000,0.000000,349.128880,349.128880,349.128880,349.128880,1047.386641,0.000000,0.000000,21.992153,3.250702,-16.618272,0.876176,0.876176,0.167648,-0.131336,-0.131336,-1.891876,0.313460,0.342761,30.492980,30.492980,435.136107,4,0.000000,true,
120.000000,3.975000,0.000000,348.400753,348.400753,348.400753,348.400753,1045.202259,0.000000,0.000000,21.985090,3.230533,-16.651746,0.871180,0.871180,0.165641,-0.133368,-0.133368,-1.894072,0.312366,0.341757,30.885052,30.885052,435.487448,2,0.000000,true,
120.000000,3.950000,0.000000,347.669817,347.669817,347.669817,347.669817,1043.009450,0.000000,0.000000,21.978045,3.210367,-16.685175,0.866175,0.866175,0.163651,-0.135458,-0.135458,-1.896251,0.311267,0.340749,31.288185,31.288185,435.836614,2,0.000000,true,
120.000000,3.925000,0.000000,346.936105,346.936105,346.936105,346.936105,1040.808316,0.000000,0.000000,21.971017,3.190204,-16.718557,0.861161,0.861161,0.161678,-0.137607,-0.137607,-1.898414,0.310163,0.339736,31.702835,31.702835,436.183652,2,0.000000,true,
120.000000,3.900000,0.000000,346.199658,346.199658,346.199658,346.199658,1038.598973,0.000000,0.000000,21.964008,3.170046,-16.751891,0.856139,0.856139,0.159721,-0.139819,-0.139819,-1.900560,0.309054,0.338719,32.129481,32.129481,436.528608,2,0.000000,true,
120.000000,3.875000,0.000000,345.460516,345.460516,345.460516,345.460516,1036.381548,0.000000,0.000000,21.957019,3.149893,-16.785178,0.851109,0.851109,0.157781,-0.142095,-0.142095,-1.902690,0.307941,0.337698,32.568630,32.568630,436.871534,2,0.000000,true,
120.000000,3.850000,0.000000,344.718728,344.718728,344.718728,344.718728,1034.156183,0.000000,0.000000,21.950049,3.129746,-16.818416,0.846071,0.846071,0.155858,-0.144439,-0.144439,-1.904804,0.306822,0.336673,33.020814,33.020814,437.212481,3,0.000000,true,
120.000000,3.825000,0.000000,343.974345,343.974345,343.974345,343.974345,1031.923036,0.000000,0.000000,21.943101,3.109605,-16.851605,0.841024,0.841024,0.153951,-0.146854,-0.146854,-1.906901,0.305698,0.335643,33.486597,33.486597,437.551506,3,0.000000,true,
120.000000,3.800000,0.000000,343.227427,343.227427,343.227427,343.227427,1029.682281,0.000000,0.000000,21.936174,3.089472,-16.884744,0.835970,0.835970,0.152061,-0.149343,-0.149343,-1.908983,0.304570,0.334608,33.966570,33.966570,437.888666,3,0.000000,true,
120.000000,3.775000,0.000000,342.478037,342.478037,342.478037,342.478037,1027.434110,0.000000,0.000000,21.929270,3.069347,-16.917832,0.830906,0.830906,0.150187,-0.151908,-0.151908,-1.911048,0.303436,0.333570,34.461359,34.461359,438.224023,3,0.000000,true,
120.000000,3.750000,0.000000,341.726246,341.726246,341.726246,341.726246,1025.178737,0.000000,0.000000,21.922389,3.049231,-16.950869,0.825835,0.825835,0.148330,-0.154554,-0.154554,-1.913098,0.302298,0.332527,34.971625,34.971625,438.557643,3,0.000000,true,
120.000000,3.725000,0.000000,340.972132,340.972132,340.972132,340.972132,1022.916397,0.000000,0.000000,21.915533,3.029126,-16.983854,0.820755,0.820755,0.146489,-0.157284,-0.157284,-1.915133,0.301155,0.331479,35.498064,35.498064,438.889595,3,0.000000,true,
120.000000,3.700000,0.000000,340.215783,340.215783,340.215783,340.215783,1020.647349,0.000000,0.000000,21.908703,3.009031,-17.016787,0.815668,0.815668,0.144665,-0.160102,-0.160102,-1.917152,0.300007,0.330428,36.041413,36.041413,439.219951,3,0.000000,true,
120.000000,3.675000,0.000000,339.457293,339.457293,339.457293,339.457293,1018.371878,0.000000,0.000000,21.901899,2.988950,-17.049665,0.810572,0.810572,0.142857,-0.163011,-0.163011,-1.919156,0.298854,0.329372,36.602450,36.602450,439.548791,3,0.000000,true,
120.000000,3.650000,0.000000,338.696766,338.696766,338.696766,338.696766,1016.090299,0.000000,0.000000,21.895123,2.968881,-17.082490,0.805467,0.805467,0.141065,-0.166017,-0.166017,-1.921144,0.297697,0.328312,37.181998,37.181998,439.876196,3,0.000000,true,
120.000000,3.625000,0.000000,337.934319,337.934319,337.934319,337.934319,1013.802957,0.000000,0.000000,21.888377,2.948828,-17.115259,0.800355,0.800355,0.139290,-0.169123,-0.169123,-1.923118,0.296534,0.327248,37.780924,37.780924,440.202255,3,0.000000,true,
120.000000,3.600000,0.000000,337.170077,337.170077,337.170077,337.170077,1011.510232,0.000000,0.000000,21.881661,2.928791,-17.147971,0.795234,0.795234,0.137531,-0.172335,-0.172335,-1.925078,0.295367,0.326180,38.400149,38.400149,440.527063,3,0.000000,true,
120.000000,3.575000,0.000000,336.404181,336.404181,336.404181,336.404181,1009.212543,0.000000,0.000000,21.874978,2.908771,-17.180627,0.790105,0.790105,0.135789,-0.175657,-0.175657,-1.927023,0.294195,0.325108,39.040645,39.040645,440.850719,3,0.000000,true,
120.000000,3.550000,0.000000,335.636783,335.636783,335.636783,335.636783,1006.910348,0.000000,0.000000,21.868328,2.888770,-17.213224,0.784968,0.784968,0.134063,-0.179094,-0.179094,-1.928954,0.293019,0.324032,39.703438,39.703438,441.173333,3,0.000000,true,
120.000000,3.525000,0.000000,334.868050,334.868050,334.868050,334.868050,1004.604150,0.000000,0.000000,21.861713,2.868790,-17.245762,0.779823,0.779823,0.132354,-0.182654,-0.182654,-1.930870,0.291838,0.322952,40.389616,40.389616,441.495019,3,0.000000,true,
120.000000,3.500000,0.000000,334.098168,334.098168,334.098168,334.098168,1002.294504,0.000000,0.000000,21.855135,2.848832,-17.278240,0.774669,0.774669,0.130661,-0.186340,-0.186340,-1.932773,0.290653,0.321868,41.100328,41.100328,441.815902,3,0.000000,true,
